Date,ATR,CCI,MACD,MTM,ROC,RSI,open,low,high,close,chg,pct_chg
2015-04-28,135.5110,97.5665,230.7143,219.9420,9.1484,67.9027,4811.3190,4703.5670,4839.0780,4741.8610,-65.7310,-1.3672
2015-04-29,102.1340,85.9191,227.5612,155.1620,7.9902,70.6539,4722.9030,4695.7930,4797.9270,4774.3260,32.4650,0.6846
2015-04-30,69.2400,82.3377,220.5479,10.0720,7.0232,65.5763,4788.4120,4749.4850,4818.7250,4749.8860,-24.4400,-0.5119
2015-05-04,96.5170,67.2338,215.5596,46.8490,9.2964,69.6326,4757.6370,4699.3980,4795.9150,4787.7410,37.8550,0.7970
2015-05-05,214.7580,-4.5099,193.9660,-105.8040,1.8454,40.6472,4785.1920,4572.9830,4785.1920,4596.8370,-190.9040,-3.9874
2015-05-06,189.1480,-64.6037,171.3667,-254.2650,-0.9314,36.4926,4626.2310,4511.7610,4700.9090,4553.3270,-43.5100,-0.9465
2015-05-07,85.8680,-146.3059,145.0677,-271.7720,-1.1462,29.5572,4520.8180,4467.4590,4546.3380,4470.0890,-83.2380,-1.8281
2015-05-08,113.4660,-112.4107,129.8549,-215.9220,-1.3154,43.2814,4515.5540,4445.5920,4559.0580,4558.4040,88.3150,1.9757
2015-05-11,155.8050,-28.9735,126.9964,-59.3540,-1.0397,57.9793,4582.0910,4535.1490,4690.9540,4690.5320,132.1280,2.8986
2015-05-12,87.9880,30.6073,127.8477,-40.3200,0.1377,62.9411,4692.1220,4660.0160,4748.0040,4747.4210,56.8890,1.2128
2015-05-13,79.1570,29.3390,124.7455,121.5990,0.3359,58.7031,4746.7130,4678.8450,4758.0020,4718.4360,-28.9850,-0.6105
2015-05-14,65.1160,17.7763,119.4848,147.4510,-2.2218,55.9491,4717.9550,4670.1680,4735.2840,4700.7780,-17.6580,-0.3742
2015-05-15,108.7280,-38.8808,107.3559,147.3810,-2.6233,44.2074,4690.7550,4592.0500,4690.7550,4617.4700,-83.3080,-1.7722
2015-05-18,58.3220,-66.8055,93.2530,16.7360,-4.1720,39.1923,4582.0580,4565.0610,4623.3830,4575.1400,-42.3300,-0.9167
2015-05-19,164.8650,22.3364,93.5920,40.6900,-0.3929,59.5145,4577.6370,4577.6370,4740.0050,4731.2220,156.0820,3.4115
2015-05-20,111.8780,109.8840,94.6814,7.4980,-0.6855,61.8381,4751.5720,4745.2100,4843.1000,4754.9190,23.6970,0.5009
2015-05-21,95.5860,128.8562,101.3208,122.5400,5.3110,69.4733,4768.6890,4746.0290,4841.6150,4840.9760,86.0570,1.8099
2015-05-22,111.0150,190.6357,114.1716,250.5570,8.7410,76.6595,4895.9250,4870.5980,4951.9910,4951.3350,110.3590,2.2797
2015-05-25,150.7290,206.9787,134.7578,482.0250,14.0804,83.0774,4949.1100,4949.1100,5099.8390,5099.4950,148.1600,2.9923
2015-05-26,136.1490,191.5257,157.2820,623.7780,14.0513,86.1452,5140.7980,5063.1460,5199.2950,5198.9180,99.4230,1.9497
2015-05-27,99.9830,156.2348,171.7421,450.2120,10.4658,82.9711,5216.1700,5126.8610,5226.8440,5181.4340,-17.4840,-0.3363
2015-05-28,381.8540,55.1600,153.3991,79.0880,1.8239,44.1665,5174.1010,4831.3290,5213.1830,4834.0070,-347.4270,-6.7052
2015-05-29,258.7820,-11.2825,137.8239,-0.1470,2.5939,44.7751,4839.5300,4665.5210,4924.3030,4840.8290,6.8220,0.1411
2015-06-01,243.5450,58.3957,142.8248,124.8440,7.9859,61.9465,4862.7560,4835.7740,5079.3190,5076.1790,235.3500,4.8618
2015-06-02,115.4750,93.5695,151.9510,62.3750,11.7900,66.4979,5091.2720,5047.0810,5162.5560,5161.8700,85.6910,1.6881
2015-06-03,127.4720,83.9905,155.9112,-55.3280,12.4248,64.5223,5176.5970,5059.4950,5186.9670,5143.5900,-18.2800,-0.3541
2015-06-04,330.7680,56.5050,160.2547,-0.0180,9.5154,66.9597,5156.0120,4863.4650,5194.2330,5181.4160,37.8260,0.7354
2015-06-05,184.1620,102.2915,165.7512,396.5450,10.0030,70.1557,5254.9050,5104.1780,5288.3400,5230.5520,49.1360,0.9483
2015-06-08,168.0140,135.4319,177.9964,512.9220,10.5924,76.8835,5259.4080,5202.5950,5370.6090,5353.7510,123.1990,2.3554
2015-06-09,129.2180,125.2921,182.6669,241.2820,7.3945,71.2092,5379.4700,5251.2080,5380.4260,5317.4610,-36.2900,-0.6778
2015-06-10,165.1501,104.6801,183.5784,147.2420,4.1105,69.7873,5254.3042,5209.6795,5374.8296,5309.1120,-8.3490,-0.1570
2015-06-11,81.1325,91.9596,181.9993,163.0000,2.0710,69.2858,5305.1407,5248.1626,5329.2951,5306.5900,-2.5220,-0.0475
2015-06-12,68.5622,93.4212,180.9636,153.6991,2.9660,72.0153,5329.2781,5283.0859,5351.6481,5335.1151,28.5251,0.5375
2015-06-15,155.1434,52.9232,168.9999,-9.3855,8.0091,50.5015,5354.0138,5207.3081,5362.4515,5221.1665,-113.9486,-2.1358
2015-06-16,205.9019,-32.3013,145.2288,-288.9298,4.6271,33.8511,5165.0245,5015.2646,5204.3030,5064.8212,-156.3453,-2.9945
2015-06-17,209.0737,-46.4215,130.8535,-178.6303,1.2342,44.2856,5072.3064,4949.2934,5158.3671,5138.8307,74.0095,1.4612
2015-06-18,212.4015,-115.2689,101.4846,-378.5629,-4.4813,28.8936,5107.6946,4926.4292,5121.2184,4930.5491,-208.2816,-4.0531
2015-06-19,295.8582,-226.7128,53.9053,-669.5383,-9.8480,18.1982,4847.0568,4634.6909,4910.4499,4637.0517,-293.4974,-5.9526
2015-06-23,331.6246,-188.9640,27.9029,-549.0245,-7.6297,33.2538,4641.4248,4455.3304,4786.9550,4786.0906,149.0389,3.2141
2015-06-24,139.4259,-100.3015,14.7142,-341.0404,-6.6996,41.4173,4811.5949,4744.3058,4883.7317,4880.1261,94.0355,1.9648
2015-06-25,252.0396,-104.5901,-9.6359,-358.3053,-12.0894,32.5873,4906.2416,4667.2235,4919.2631,4706.5159,-173.6102,-3.5575
2015-06-26,427.8407,-161.5477,-58.1450,-802.6360,-18.4537,21.0823,4573.8723,4278.6752,4650.1861,4336.1947,-370.3212,-7.8683
2015-06-29,450.2398,-166.5142,-107.0269,-739.0005,-21.0499,18.0890,4446.8419,4000.9261,4451.1659,4191.5486,-144.6461,-3.3358
2015-06-30,459.7548,-118.6511,-121.6531,-164.0541,-15.7086,38.4833,4161.0672,4016.0126,4475.7674,4472.9976,281.4490,6.7147
2015-07-01,290.4307,-99.7029,-149.2741,-533.0696,-20.2825,31.1979,4408.9843,4235.6964,4526.1271,4253.0210,-219.9766,-4.9179
2015-07-02,312.1292,-121.5412,-180.7823,-772.1300,-21.3203,27.1340,4287.7344,4000.0612,4312.1904,4107.9961,-145.0249,-3.4099
2015-07-03,378.7274,-133.2041,-221.1237,-820.5990,-23.2763,21.8935,4017.2019,3785.9015,4164.6289,3885.9169,-222.0792,-5.4060
2015-07-06,385.7982,-102.4919,-241.2263,-337.6577,-22.1898,30.1080,4218.2660,3832.4678,4218.2660,3998.5370,112.6201,2.8982
2015-07-07,254.9133,-114.2057,-259.8540,-263.5461,-20.3334,27.9025,3877.8539,3743.6237,3960.6359,3928.0025,-70.5345,-1.7640
2015-07-08,315.7489,-137.0511,-292.6237,-809.9601,-21.0050,20.9760,3651.0604,3612.2536,3762.6222,3663.0375,-264.9650,-6.7455
2015-07-09,392.4381,-101.0826,-296.2497,-355.3947,-18.5635,37.4679,3621.6804,3537.8260,3930.2641,3897.6263,234.5888,6.4042
2015-07-10,291.5605,-37.0966,-279.0477,-1.4400,-15.8514,48.8717,3916.2717,3887.5509,4179.1114,4106.5561,208.9298,5.3604
2015-07-13,205.7315,0.6623,-253.9939,325.8947,-10.5111,53.9488,4132.2308,4072.4297,4278.1612,4211.8116,105.2555,2.5631
2015-07-14,196.0128,2.8565,-239.4206,113.6118,-5.1669,48.4789,4178.6295,4062.5004,4258.5132,4112.1488,-99.6628,-2.3663
2015-07-15,214.7346,-33.6833,-236.8725,38.7560,-5.3629,41.1714,4068.8803,3899.5079,4114.2425,3966.7585,-145.3903,-3.5356
2015-07-16,210.7010,-32.8178,-229.7359,334.3180,-10.6336,43.3287,3949.6390,3856.3213,4067.0223,3997.3555,30.5970,0.7713
2015-07-17,192.8302,33.4375,-209.2304,253.8693,-2.3871,53.6121,4023.7567,4000.2307,4190.1857,4151.4956,154.1401,3.8561
2015-07-20,115.3040,66.3430,-190.0532,54.0559,1.2808,54.2020,4157.0598,4106.3890,4221.6930,4160.6120,9.1164,0.2196
2015-07-21,119.7785,73.9467,-172.4322,-45.8059,7.2078,54.6117,4109.7606,4081.7039,4201.4824,4166.0057,5.3937,0.1296
2015-07-22,92.7189,71.5954,-157.3671,45.0116,3.9670,53.6668,4148.5601,4094.7116,4187.4305,4157.1604,-8.8453,-0.2123
2015-07-23,113.2384,96.4076,-136.3005,284.0465,8.2180,62.0158,4158.9320,4148.8235,4262.0619,4250.8050,93.6446,2.2526
2015-07-24,145.0327,79.3461,-124.1871,178.9232,14.0114,52.9106,4255.1977,4154.6170,4299.6497,4176.2787,-74.5263,-1.7532
2015-07-27,359.1094,-63.6445,-141.8036,-332.7642,-2.0242,28.6737,4097.7963,3817.1693,4156.3128,3818.7314,-357.5473,-8.5614
2015-07-28,256.0247,-157.9778,-154.5990,-349.5194,-7.1949,28.3409,3690.9741,3627.4214,3883.4461,3811.0926,-7.6388,-0.2000
2015-07-29,164.8139,-110.9918,-153.3464,-235.6266,-6.6820,41.1430,3839.9585,3769.1894,3934.0033,3930.3791,119.2865,3.1300
2015-07-30,165.6517,-98.1775,-159.7887,-341.7486,-7.2161,34.0977,3915.7795,3802.8821,3968.5338,3815.4118,-114.9673,-2.9251
2015-07-31,105.6348,-103.7735,-162.9124,-434.1057,-3.7829,34.2490,3777.1546,3757.9889,3863.6237,3816.6993,1.2875,0.0337
2015-08-03,86.6573,-94.9452,-162.5031,-347.0433,-4.2058,35.9667,3766.0719,3742.5781,3829.2354,3829.2354,12.5361,0.3285
2015-08-04,147.4208,-43.4689,-150.8441,129.4240,-4.8980,50.6447,3827.3726,3801.0281,3948.4489,3948.1554,118.9200,3.1056
2015-08-05,103.6176,-41.1126,-146.4725,55.8072,-7.0594,42.6321,3937.6232,3858.6598,3962.2774,3866.8998,-81.2556,-2.0581
2015-08-06,95.4556,-59.3200,-144.1741,-98.5275,-8.0210,39.4051,3802.9280,3793.2370,3888.6926,3831.8516,-35.0482,-0.9064
2015-08-07,94.7972,-27.2712,-134.7400,91.5330,-6.0189,49.2765,3866.4298,3857.9076,3926.6488,3906.9448,75.0932,1.9597
